"Prenom","Nom","Societe","Site","Departement","Service","fonction","Manager-Prenom","Manager-Nom","Nom de PC","Marque PC","Date de naissance","Telephone fixe","Telephone portable","Télétravail","Groupe_Departement","Groupe_Service","OU","SousOU"
"Alan","Meunier","BillU","Paris","DSI","Administration Systèmes et Réseaux","Technicien réseaux","Anthony","Noel","PA21577","DELL","02/08/1995  ","0194124692  ","0687340310  ","Non","GRP_DSI","GRP_DSI_ADMIN","DSI","Admin-Systemes-Reseaux"
"Mathis","Mercier","BillU","Paris","DSI","Administration Systèmes et Réseaux","Technicien réseaux","Anthony","Noel","PA30819","DELL","21/08/1993  ","0466874640  ","0745093669  ","Non","GRP_DSI","GRP_DSI_ADMIN","DSI","Admin-Systemes-Reseaux"
"Marie","Meyer","BillU","Paris","DSI","Administration Systèmes et Réseaux","Technicien Systèmes","Anthony","Noel","PA33490","DELL","27/12/1997  ","0134344137  ","0717065142  ","Non","GRP_DSI","GRP_DSI_ADMIN","DSI","Admin-Systemes-Reseaux"
"Arnoovik","Jlecht","BillU","Paris","Service Commercial","ADV","Gestionnaire ADV","Bastien","Lucas","PA16353","DELL","19/11/2001  ","0124045383  ","0763236659  ","Non","GRP_SC","GRP_SC_ADV","Service-Commercial","ADV"
"Bastien","Lucas","BillU","Paris","Service Commercial","ADV","Responsable ADV","Pierre","David","PA16564","DELL","16/07/1988  ","0154658546  ","0697336293  ","Non","GRP_SC","GRP_SC_ADV","Service-Commercial","ADV"
"Pauline","Lambert","BillU","Paris","Service Commercial","ADV","Gestionnaire ADV","Bastien","Lucas","PA37602","DELL","10/11/1987  ","0158406170  ","0606722898  ","Non","GRP_SC","GRP_SC_ADV","Service-Commercial","ADV"
"Latifa","Jean","BillU","Paris","Service Commercial","ADV","Gestionnaire ADV","Bastien","Lucas","PA46917","DELL","02/09/1990  ","0114930105  ","0739063477  ","Non","GRP_SC","GRP_SC_ADV","Service-Commercial","ADV"
"Jade","Lefevre","BillU","Paris","Service Commercial","ADV","Gestionnaire ADV","Bastien","Lucas","PA64810","DELL","16/11/1984  ","0180183734  ","0621673896  ","Non","GRP_SC","GRP_SC_ADV","Service-Commercial","ADV"
"Wilfried","José","BillU","Paris","Développement logiciel","analyse et conception","Responsable analyse et conception","Sofia","Rossi","PA14433","LENOVO","29/06/1987  ","0188064257  ","0773629374  ","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Luca","Duval","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA18845","LENOVO","25/09/1987  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Jéremy","Martelant","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA23575","LENOVO","30/06/1989  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Pierre","David","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA31686","HP","13/08/1991  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Nadège","Rouiller","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA36514","LENOVO","05/12/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Felix","Hoffmann","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA41987","HP","26/08/1987  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Stéphanie","Le Kerbriault","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA42543","TOSHIBA","17/03/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Adam","Thomas","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA43813","TOSHIBA","03/03/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"William","Lemaire","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA45623","LENOVO","10/08/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Oscar","Gautier","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA72016","HP","15/06/1990  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Florent","Houssay","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA90613","HP","12/10/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Charlotte","Giroux","BillU","Paris","Développement logiciel","analyse et conception","Développeur","Wilfried","José","PA99876","LENOVO","14/12/1998  ","-","-","Non","GRP_DEVL","GRP_DEVL_AC","Developpement-Logiciel","Analyse-Conception"
"Nathan","Dupont","BillU","Paris","Service Commercial","B2B","Commercial","Pierre","David","PA12427","DELL","01/02/1992  ","0109336075  ","0662152312  ","Non","GRP_SC","GRP_SC_B2B","Service-Commercial","B2B"
"Theo","Fournier","BillU","Paris","Service Commercial","B2B","Commercial","Pierre","David","PA44614","DELL","16/12/1982  ","0181612961  ","0703432899  ","Non","GRP_SC","GRP_SC_B2B","Service-Commercial","B2B"
"Dorian","Blanchard","BillU","Paris","Service Commercial","B2B","Commercial","Pierre","David","PA82880","DELL","18/08/1991  ","0451967464","0655939808  ","Non","GRP_SC","GRP_SC_B2B","Service-Commercial","B2B"
"Valentin","Bonnet","BillU","Paris","Service Commercial","B2B","Commercial","Pierre","David","PA90176","DELL","23/02/1987  ","0439648412","0799413599  ","Non","GRP_SC","GRP_SC_B2B","Service-Commercial","B2B"
"Louise","Richard","BillU","Paris","QHSE","Certification","Auditeur","Arielle","Leroy","PA81191","LENOVO","29/05/1990  ","0159009944  ","-","Non","GRP_QHSE","GRP_QHSE_SER","QHSE","Certification"
"Erwan","Faure","BillU","Paris","Communication et Relations publiques","Communication interne","Chargé de communication","Gaelle","Colin","PA10218","","17/06/1993  ","0127364911  ","0707561174  ","Non","GRP_CRP","GRP_CRP_CI","Communication-Relations-Publiques","Communication-Interne"
"Corentin","Arnaud","BillU","Paris","Communication et Relations publiques","Communication interne","Community manager","Gaelle","Colin","PA11094","DELL","01/01/1991  ","0148522008","0710630503  ","Non","GRP_CRP","GRP_CRP_CI","Communication-Relations-Publiques","Communication-Interne"
"Diego","Aubert","BillU","Paris","Communication et Relations publiques","Communication interne","Community manager","Gaelle","Colin","PA19149","DELL","14/05/1989  ","0198004015  ","0736672209  ","Non","GRP_CRP","GRP_CRP_CI","Communication-Relations-Publiques","Communication-Interne"
"Loic","Blanc","BillU","Paris","Communication et Relations publiques","Communication interne","Chargé en droit de la communication","Gaelle","Colin","PA88356","DELL","03/11/1982  ","0160352162","0747070420  ","Non","GRP_CRP","GRP_CRP_CI","Communication-Relations-Publiques","Communication-Interne"
"Lucas","Moreau","BillU","Paris","QHSE","Contrôle Qualité","Animateur sécurité","Arielle","Leroy","PA26363","LENOVO","28/08/1998  ","0108552477  ","-","Non","GRP_QHSE","GRP_QHSE_CQ","QHSE","Controle-Qualite"
"Arielle","Leroy","BillU","Paris","QHSE","Contrôle Qualité","Responsable QHSE","Camille","Martin","PA53466","TOSHIBA","14/08/1993  ","0187941494  ","0718694265  ","Non","GRP_QHSE","GRP_QHSE_CQ","QHSE","Controle-Qualite"
"Hamza","Amari","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA10427","","28/10/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Nora","O'Sullivan","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA12745","DELL","15/01/1988  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Sara","Bernard","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA15299","HP","04/09/1988  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Emma","Leclerc","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA19161","LENOVO","06/09/1986  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Sacha","Lopez","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA19651","LENOVO","10/10/1997  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Amélie","Blanchet","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA21577","TOSHIBA","08/08/2001","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Aurélie","Yosef","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA23575","DELL","23/08/1990  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Aarav","Gupta","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA24630","HP","30/06/1994  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Lina","Müller","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA25185","DELL","02/10/1992  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Sébastien","Durand","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA27630","DELL","25/11/1993  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Simon","Gauthier","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA28156","HP","01/11/1992  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Kevin","Dumont","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA32275","DELL","27/10/1986  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Victor","Chevalier","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA32765","DELL","20/06/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Benjamin","Schmitt","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA33002","DELL","10/01/1986  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Florian","Rellay","BillU","Paris","Développement logiciel","Développement","Responsable developpement","Sofia","Rossi","PA33002","TOSHIBA","17/05/1991  ","0126036632  ","0749534624  ","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Killian","Masson","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA34551","LENOVO","06/10/2000  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Eshan","Khan","BillU","Paris","Développement logiciel","Développement","Développeur","Hana","Kim","PA34827","TOSHIBA","30/01/1994  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
"Morgan","Perrin","BillU","Paris","Développement logiciel","Développement","Développeur","Florian","Rellay","PA36514","DELL","22/10/1983  ","-","-","Non","GRP_DEVL","GRP_DEVL_DEV","Developpement-Logiciel","Developpement"
