Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,Teletravail
Corentin,Arnaud,BillU,Paris,Communication-Relations-Publiques,Communication-Interne,Community-Manager,Gaelle,Colin,PA11094,DELL,01/01/1991,0148522008,0710630503,Non
Diego,Aubert,BillU,Paris,Communication-Relations-Publiques,Communication-Interne,Community-Manager,Gaelle,Colin,PA19149,DELL,14/05/1989,0198004015,0736672209,Non
Loic,Blanc,BillU,Paris,Communication-Relations-Publiques,Communication-Interne,Charg-Com,Gaelle,Colin,PA88356,DELL,03/11/1982,0160352162,0747070420,Non
Aurelien,Brunet,BillU,Paris,Communication-Relations-Publiques,Responsable-Relation-Media,Noemie,Leloir,PA68867,DELL,12/03/1985,0114409115,0778858220,Non
Damien,Calouhouet,I-magyne,Paris,Communication-Relations-Publiques,Relations-Medias,Monteur,Aurelien,Brunet,-,-,-,-,0612558490,-
Gaelle,Colin,BillU,Paris,Communication-Relations-Publiques,Responsable-Communication,Noemie,Leloir,PA23669,DELL,23/06/1999,0146389837,0625101497,Non
Alban,Dumas,BillU,Paris,Communication-Relations-Publiques,Relations-Medias,Redacteur,Aurelien,Brunet,PA78671,HP,02/12/1987,0197796902,0615034263,Non
Erwan,Faure,BillU,Paris,Communication-Relations-Publiques,Communication-Interne,Charg-C-Com,Gaelle,Colin,PA10218,17/06/1993,0127364911,0707561174,Non
Felianne,Fernandez,BillU,Paris,Communication-Relations-Publiques,Relations-Medias,Redacteur,Aurelien,Brunet,PA92969,DELL,17/11/1992,0122223912,0655605121,Non
Laurence,Guerin,BillU,Paris,Communication-Relations-Publiques,Gestion-Marques,Designer-Graphique,Gaelle,Colin,PA63117,DELL,20/07/1990,0114806301,0642681764,Non
Ines,Henry,BillU,Paris,Communication-Relations-Publiques,Gestion-Marques,Webmaster,Gaelle,Colin,PA39469,DELL,05/01/2000,0138585445,0685150170,Non
Regina,Illaconnese,BillU,Paris,Communication-Relations-Publiques,Relations-Medias,Charg-Relation-Presse,Aurelien,Brunet,PA99009,DELL,16/11/1994,0155106945,0643567057,Non
Felix,Jean,StudioDlight,Nantes,Communication-Relations-Publiques,Relations-Medias,Monteur,Aurelien,Brunet,-,-,-,-,0684213048,-
Sophia,Leclerc,BillU,Paris,Communication-Relations-Publiques,Relations-Medias,Charg-Relation-Presse,Aurelien,Brunet,PA76764,DELL,10/08/1988,0134259365,0732836175,Non
Noemie,Leloir,BillU,Paris,Communication-Relations-Publiques,DirectriceCommunication-Relations-Publiques,Camille,Martin,PA68385,DELL,14/11/1994,0165300831,0628752957,Non
Mathias,Muller,BillU,Paris,Communication-Relations-Publiques,Gestion-Marques,Community-Manager,Gaelle,Colin,PA63498,DELL,08/12/2000,0112691924,0695993512,Non
Lukas,Rousseau,BillU,Paris,Communication-Relations-Publiques,Gestion-Marques,photographe,Gaelle,Colin,PA74987,DELL,19/04/1993,0199526389,0742450021,Non
Gaetan,Roussel,BillU,Paris,Communication-Relations-Publiques,Gestion-Marques,Webmaster,Gaelle,Colin,PA74884,DELL,27/10/1994,0181708327,0622836246,Non
Remi,Advezekt,BillU,Paris,Departement-Juridique,Protection-DATA,Juriste,Fauve,Holth,PA12540,LENOVO,28/05/1997,0488168544,-,Non
Jeremie,Allert,Livingston&Associes,Paris,Departement-Juridique,LA-Droits-Des-Societes,Juriste,Fauve,Holth,-,-,-,0123954236,-,-
Robin,Bourgeois,BillU,Paris,Departement-Juridique,Protection-DATA,Juriste,Fauve,Holth,PA33490,HP,17/07/1997,0130797419,-,Non
Yann,Boyer,BillU,Paris,Departement-Juridique,Protection-DATA,Juriste,Fauve,Holth,PA48690,LENOVO,30/03/1992,0198705216,-,Non
Helene,Cault,BillU,Paris,Departement-Juridique,Prop-Int,Juriste,Fauve,Holth,PA26363,LENOVO,30/06/1985,0155916179,-,Non
Nadia,Culcuu,Livingston&Associes,Paris,Departement-Juridique,LA-Droits-Des-Societes,Juriste,Fauve,Holth,-,-,-,0168235541,-,-
Faustine,Denis,BillU,Paris,Departement-Juridique,Prop-Int,Juriste,Fauve,Holth,PA51856,HP,15/03/1983,0102226399,-,Non
Fauve,Holth,BillU,Paris,Departement-Juridique,Directeur-Juridique,Camille,Martin,PA87056,LENOVO,08/01/1988,0169521011,0757881221,Non
Irene,Idr-Bongo,Livingston&Associes,Paris,Departement-Juridique,LA-Droits-Des-Societes,Avocat,Fauve,Holth,-,-,-,0142995102,-,-
Serge,Kalfandier,Livingston&Associes,Paris,Departement-Juridique,LA-Droits-Des-Societes,Avocat,Fauve,Holth,-,-,-,0187569924,-,-
Yara,Abadi,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA58412,LENOVO,11/08/1985,-,-,Non
Youssef,Al-Masri,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA51530,HP,29/06/1983,-,-,Non
Hamza,Amari,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA10427,28/10/1993,-,-,Non
Tariq,Aziz,BillU,Paris,Developpement-Logiciel,Test-Qualite,Developpeur,Elena,Sanchez,PA31010,LENOVO,12/03/1989,-,-,Non
Klaus,Becker,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA52587,LENOVO,18/07/2000,-,-,Non
Aya,Benali,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA77535,DELL,29/10/1987,-,-,Non
Sara,Bernard,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA15299,HP,04/09/1988,-,-,Non
Guido,Bianchi,BillU,Paris,Developpement-Logiciel,Test-Qualite,Developpeur,Elena,Sanchez,PA27339,LENOVO,25/09/1983,-,-,Non
Amelie,Blanchet,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA21577,TOSHIBA,08/08/2001,-,-,Non
Camille,Blanchet,BillU,Paris,Developpement-Logiciel,Test-Qualite,Developpeur,Elena,Sanchez,PA46875,LENOVO,07/06/2000,-,-,Non
Jaxon,Brown,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA78780,DELL,04/02/1995,-,-,Non
Victor,Chevalier,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA32765,DELL,20/06/1983,-,-,Non
Samuel,Clement,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA45337,DELL,07/01/1992,-,-,Non
Pierre,David,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA31686,HP,13/08/1991,-,-,Non
Chloe,Dubois,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA69037,HP,01/06/1993,-,-,Non
Leo,Dubois,BillU,Paris,Developpement-Logiciel,Test-Qualite,Developpeur,Elena,Sanchez,PA84928,LENOVO,07/12/1997,-,-,Non
Marie,Dufour,BillU,Paris,Developpement-Logiciel,Test-Qualite,Developpeur,Elena,Sanchez,PA72687,LENOVO,22/05/2000,-,-,Non
Kevin,Dumont,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA32275,DELL,27/10/1986,-,-,Non
Ines,Dupont,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA62916,LENOVO,10/10/1997,-,-,Non
Sebastien,Durand,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA27630,DELL,25/11/1993,-,-,Non
Luca,Duval,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA18845,LENOVO,25/09/1987,-,-,Non
Amira,El-Mahdi,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA55201,TOSHIBA,29/07/1996,-,-,Non
Matteo,Ferrari,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA96975,DELL,23/04/1999,-,-,Non
Tristan,Fontaine,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA96447,DELL,25/02/1988,-,-,Non
Amelie,Fournier,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA60728,DELL,22/07/1987,-,-,Non
Clara,Garcia,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA48530,LENOVO,25/12/1993,-,-,Non
Simon,Gauthier,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA28156,HP,01/11/1992,-,-,Non
Oscar,Gautier,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA72016,HP,15/06/1990,-,-,Non
Vincent,Gerard,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA52948,LENOVO,18/09/1988,-,-,Non
Emilien,Gerot,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA51163,LENOVO,31/07/1999,-,-,Non
Charlotte,Giroux,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA99876,LENOVO,14/12/1998,-,-,Non
Isabel,Gomez,BillU,Paris,Developpement-Logiciel,Recherche-Prototype,Developpeur,Niko,Gruber,PA21386,HP,23/06/1984,0158890916,0601928581,Non
Esteban,Gonzalez,2Face,Paris,Developpement-Logiciel,Test-Qualite,Testeur,Elena,Sanchez,-,-,-,-,-,-
Niko,Gruber,BillU,Paris,Developpement-Logiciel,Recherche-Prototype,Responsable-Recherche,Sofia,Rossi,PA82471,HP,17/11/1993,0148808015,0653178244,Non
Aarav,Gupta,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Florian,Rellay,PA24630,HP,30/06/1994,-,-,Non
Miguel,Hernandez,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA52831,DELL,12/06/1982,-,-,Non
Felix,Hoffmann,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA41987,HP,26/08/1987,-,-,Non
Florent,Houssay,BillU,Paris,Developpement-Logiciel,Analyse-Conception,Developpeur,Wilfried,Jose,PA90613,HP,12/10/1993,-,-,Non
Fabien,Hy-DJykov,2Face,Paris,Developpement-Logiciel,Test-Qualite,Testeur,Elena,Sanchez,-,-,-,0177322131,0619087602,-
Dmitri,Ivanov,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA75404,DELL,13/09/1996,-,-,Non
Mia,Johnson,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA67552,DELL,07/02/1992,-,-,Non
Wilfried,Jose,BillU,Paris,Developpement-Logiciel,Analyse-Conception,ResponsableAnalyse-Conception,Sofia,Rossi,PA14433,LENOVO,29/06/1987,0188064257,0773629374,Non
Eshan,Khan,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA34827,TOSHIBA,30/01/1994,-,-,Non
Hana,Kim,BillU,Paris,Developpement-Logiciel,Developpement,Developpeur,Hana,Kim,PA48799,HP,24/07/1987,-,-,Non
Helena,Kusmerowa,2Face,Paris,Developpement-Logiciel,Test-Qualite,Testeur,Elena,Sanchez,-,-,-,-,-,-
